learner_id,region,course_id,last_login_days,assignment_completion_rate,quiz_score_trend,attendance_rate
L13991,Egypt,CRS-011,0.6,0.715,-1.5,0.871
L14618,Egypt,CRS-015,4.3,0.862,-6.9,0.774
L11243,Egypt,CRS-002,13.4,0.111,-23.2,0.726
L14942,Egypt,CRS-002,1.4,0.898,2.6,0.609
L13804,South Africa,CRS-009,3.4,0.968,-11.8,0.706
L10874,South Africa,CRS-003,26.2,0.804,21.3,0.528
L12482,Egypt,CRS-005,30.4,0.878,-45.9,0.640
L10290,South Africa,CRS-014,5.0,0.853,15.4,0.787
L15217,South Africa,CRS-003,2.7,0.908,-7.5,0.863
L10480,South Africa,CRS-002,6.1,0.826,19.6,0.874
L15215,Egypt,CRS-009,16.4,0.881,-0.0,0.272
L13585,Egypt,CRS-014,14.0,0.726,16.7,0.763
L13462,South Africa,CRS-014,33.5,0.677,7.7,0.605
L13606,South Africa,CRS-011,17.2,0.814,9.5,0.594
L12933,Egypt,CRS-007,5.9,0.841,0.6,0.808
L11211,South Africa,CRS-014,6.9,0.726,-23.2,0.802
L11793,South Africa,CRS-002,4.8,0.718,22.7,0.755
L11400,South Africa,CRS-009,12.9,0.914,1.0,0.807
L11223,Egypt,CRS-003,1.6,0.744,-22.7,0.778
L11783,Egypt,CRS-008,15.5,0.819,-4.7,0.671
L10785,South Africa,CRS-011,4.6,0.768,-25.9,0.903
L11590,South Africa,CRS-005,0.2,0.767,-39.2,0.281
L11924,Egypt,CRS-013,13.7,0.791,1.1,0.678
L11073,South Africa,CRS-013,14.7,0.689,-11.4,0.821
L14137,Egypt,CRS-015,5.3,0.873,-9.7,0.683
L12975,Egypt,CRS-012,0.3,0.526,14.3,0.761
L10702,South Africa,CRS-002,7.0,0.910,3.0,0.727
L11225,Egypt,CRS-013,0.2,0.741,-42.9,0.808
L13570,South Africa,CRS-010,29.8,0.141,-33.6,0.539
L10081,Egypt,CRS-015,0.7,0.742,2.8,0.143
L15271,Egypt,CRS-001,11.3,0.642,5.6,0.772
L10802,South Africa,CRS-005,8.4,0.777,7.4,0.433
L11324,Egypt,CRS-014,3.4,0.855,-2.0,0.635
L11656,South Africa,CRS-002,1.0,0.625,-18.7,0.817
L13618,South Africa,CRS-011,14.4,0.402,0.4,0.614
L13888,Egypt,CRS-012,8.7,0.584,-1.4,0.754
L12558,Egypt,CRS-004,0.4,0.240,-1.1,0.794
L10477,South Africa,CRS-012,1.7,0.784,4.7,0.837
L14783,South Africa,CRS-009,2.0,0.694,11.3,0.681
L12224,Egypt,CRS-008,4.0,0.509,24.2,0.903
L11096,South Africa,CRS-010,2.1,0.899,15.6,0.824
L12011,South Africa,CRS-004,2.9,0.879,-1.2,0.595
L14857,South Africa,CRS-007,10.8,0.877,-13.7,0.677
L13952,Egypt,CRS-015,11.1,0.312,-2.7,0.752
L13678,Egypt,CRS-013,4.0,0.720,-11.9,0.751
L11284,South Africa,CRS-007,3.0,0.423,13.6,0.232
L13416,South Africa,CRS-008,1.1,0.743,-16.7,0.727
L12122,South Africa,CRS-002,0.7,0.918,2.3,0.606
L10972,Egypt,CRS-002,7.0,0.649,7.3,0.551
L12547,South Africa,CRS-003,4.9,0.582,15.1,0.592
L10137,Egypt,CRS-012,15.6,0.419,-46.3,0.732
L13301,South Africa,CRS-002,7.3,0.591,-11.0,0.603
L14283,South Africa,CRS-004,5.6,0.243,-40.0,0.787
L13568,South Africa,CRS-005,27.0,0.680,-11.2,0.910
L10254,South Africa,CRS-002,5.2,0.574,-23.9,0.721
L10514,South Africa,CRS-001,1.5,0.885,3.0,0.593
L13486,South Africa,CRS-002,18.4,0.627,-13.7,0.579
L11514,Egypt,CRS-003,26.4,0.833,9.0,0.523
L13350,South Africa,CRS-003,0.8,0.664,-18.0,0.720
L14146,Egypt,CRS-011,9.0,0.619,22.0,0.680
L14607,South Africa,CRS-004,9.3,0.945,5.7,0.916
L11849,South Africa,CRS-015,5.5,0.728,9.8,0.762
L13751,South Africa,CRS-009,25.6,0.148,-9.5,0.728
L12206,Egypt,CRS-011,11.8,0.589,4.3,0.885
L14565,Egypt,CRS-006,0.3,0.394,-0.8,0.764
L11954,Egypt,CRS-009,13.6,0.811,-12.3,0.618
L10757,South Africa,CRS-005,41.1,0.769,15.6,0.411
L13294,South Africa,CRS-004,10.9,0.713,-5.7,0.502
L13708,Egypt,CRS-007,4.9,0.727,-15.5,0.656
L12718,Egypt,CRS-007,1.7,0.562,0.5,0.565
L10901,South Africa,CRS-007,0.0,0.934,10.6,0.874
L15117,South Africa,CRS-001,11.1,0.796,-9.8,0.678
L12152,Egypt,CRS-012,2.1,0.866,9.9,0.746
L14254,Egypt,CRS-015,3.9,0.894,-0.4,0.921
L11975,South Africa,CRS-013,12.0,0.329,11.4,0.799
L11587,South Africa,CRS-008,2.7,0.573,-13.7,0.847
L12727,South Africa,CRS-013,30.3,0.745,-19.8,0.703
L12979,South Africa,CRS-002,0.6,0.205,-18.4,0.926
L14773,Egypt,CRS-002,17.5,0.971,-0.4,0.221
L11411,Egypt,CRS-015,1.3,0.497,-0.1,0.766
L14503,South Africa,CRS-001,3.0,0.872,2.0,0.583
L11586,Egypt,CRS-006,4.0,0.682,14.0,0.837
L10066,South Africa,CRS-008,19.4,0.795,-27.1,0.901
L14070,Egypt,CRS-008,5.6,0.865,-15.4,0.582
L13670,Egypt,CRS-007,13.4,0.664,2.3,0.672
L12438,South Africa,CRS-015,19.3,0.390,15.2,0.628
L13419,Egypt,CRS-013,0.5,0.318,0.8,0.387
L14217,South Africa,CRS-003,4.5,0.644,-8.1,0.624
L11696,South Africa,CRS-012,11.9,0.545,-5.1,0.924
L11677,Egypt,CRS-007,12.7,0.834,10.5,0.866
L13525,Egypt,CRS-013,17.2,0.976,-6.2,0.823
L10387,South Africa,CRS-015,10.2,0.534,-14.8,0.842
L11676,Egypt,CRS-001,2.7,0.721,4.0,0.601
L10564,South Africa,CRS-006,13.6,0.381,16.7,0.709
L10225,Egypt,CRS-005,3.5,0.648,15.1,0.462
L14379,Egypt,CRS-007,20.3,0.812,-40.9,0.775
L10965,South Africa,CRS-013,0.0,0.222,7.1,0.612
L10811,Egypt,CRS-014,9.7,0.605,-2.5,0.807
L12211,South Africa,CRS-004,0.7,0.280,-13.4,0.897
L12433,Egypt,CRS-007,0.7,0.903,-16.2,0.840
L10133,South Africa,CRS-003,3.5,0.229,-1.9,0.455
L10831,Egypt,CRS-008,6.3,0.650,10.9,0.897
L11368,South Africa,CRS-008,0.5,0.615,-21.8,0.277
L14242,South Africa,CRS-008,58.9,0.589,22.0,0.936
L14774,South Africa,CRS-013,3.7,0.970,15.4,0.611
L10461,Egypt,CRS-003,3.3,0.937,19.2,0.444
L12334,South Africa,CRS-007,29.1,0.381,-1.2,0.975
L11876,South Africa,CRS-009,8.4,0.727,-31.2,0.840
L14110,South Africa,CRS-015,9.7,0.663,8.9,0.865
L13222,South Africa,CRS-005,14.2,0.344,14.2,0.778
L12572,South Africa,CRS-003,2.5,0.732,5.4,0.845
L15087,Egypt,CRS-002,14.2,0.771,7.8,0.465
L14930,South Africa,CRS-010,20.5,0.581,-2.8,0.861
L10046,Egypt,CRS-007,10.6,0.464,-1.3,0.750
L10956,Egypt,CRS-007,56.3,0.726,-14.4,0.862
L12502,South Africa,CRS-005,4.0,0.518,7.6,0.949
L14402,Egypt,CRS-005,5.5,0.719,15.9,0.781
L14063,South Africa,CRS-006,0.3,0.835,26.0,0.409
L13702,South Africa,CRS-013,7.9,0.565,2.9,0.483
L14299,South Africa,CRS-007,0.2,0.938,-8.4,0.864
L14317,South Africa,CRS-006,5.4,0.727,-2.3,0.712
L11130,South Africa,CRS-002,6.8,0.922,8.7,0.689
L10825,Egypt,CRS-003,4.0,0.829,16.6,0.588
L10196,South Africa,CRS-003,1.4,0.926,-5.3,0.757
L10921,South Africa,CRS-014,17.2,0.519,16.6,0.731
L13311,South Africa,CRS-014,5.1,0.529,-0.1,0.811
L12745,Egypt,CRS-005,4.0,0.760,16.6,0.618
L13379,South Africa,CRS-007,5.5,0.504,-13.5,0.893
L11218,South Africa,CRS-006,1.2,0.544,-13.5,0.762
L12527,South Africa,CRS-007,0.5,0.766,-0.3,0.872
L14801,Egypt,CRS-002,30.2,0.461,18.0,0.319
L15035,Egypt,CRS-010,2.9,0.818,-10.5,0.584
L11125,South Africa,CRS-007,52.7,0.407,3.9,0.567
L10450,Egypt,CRS-008,12.9,0.621,-9.7,0.879
L13834,South Africa,CRS-008,6.3,0.941,3.9,0.859
L14493,South Africa,CRS-012,2.0,0.377,11.3,0.703
L11045,South Africa,CRS-001,3.1,0.650,-3.4,0.922
L15337,South Africa,CRS-001,15.5,0.742,-2.8,0.728
L15111,South Africa,CRS-006,13.4,0.739,16.9,0.707
L14641,Egypt,CRS-006,1.4,0.718,-6.1,0.547
L14076,South Africa,CRS-001,25.9,0.465,-1.7,0.375
L14302,Egypt,CRS-012,20.5,0.641,-12.3,0.366
L12794,South Africa,CRS-009,25.7,0.739,-4.9,0.556
L11347,South Africa,CRS-012,21.4,0.764,28.9,0.665
L11595,South Africa,CRS-006,1.5,0.546,-7.2,0.585
L11915,South Africa,CRS-001,2.7,0.835,7.6,0.785
L14662,South Africa,CRS-006,1.6,0.933,-3.5,0.517
L12265,South Africa,CRS-010,0.8,0.904,21.2,0.579
L10449,South Africa,CRS-001,5.2,0.771,-4.8,0.637
L12662,Egypt,CRS-010,2.6,0.782,-3.8,0.821
L12161,Egypt,CRS-006,0.4,0.695,-14.4,0.813
L13139,Egypt,CRS-012,15.1,0.480,9.1,0.905
L10952,Egypt,CRS-012,1.3,0.707,16.0,0.334
L14003,Egypt,CRS-012,29.4,0.882,-5.8,0.971
L14510,South Africa,CRS-012,0.0,0.824,3.2,0.590
L12381,Egypt,CRS-007,10.1,0.376,1.3,0.703
L14187,South Africa,CRS-008,41.7,0.749,19.4,0.464
L13211,Egypt,CRS-007,4.2,0.950,-12.4,0.611
L12974,South Africa,CRS-003,2.8,0.756,-5.5,0.819
L11043,South Africa,CRS-011,30.2,0.958,12.6,0.579
L10040,South Africa,CRS-005,5.8,0.658,2.3,0.604
L12277,South Africa,CRS-010,2.2,0.737,4.0,0.460
L11195,Egypt,CRS-004,6.9,0.728,6.7,0.645
L12862,South Africa,CRS-007,0.4,0.844,9.3,0.638
L12753,Egypt,CRS-007,9.1,0.703,-9.3,0.650
L14265,South Africa,CRS-015,0.1,0.555,3.3,0.917
L14065,Egypt,CRS-006,14.3,0.765,-4.7,0.938
L14624,South Africa,CRS-002,0.6,0.651,-45.1,0.914
L14749,Egypt,CRS-013,7.1,0.314,5.2,0.821
L12271,Egypt,CRS-009,13.7,0.912,-10.8,0.702
L10859,South Africa,CRS-012,2.8,0.942,-0.0,0.857
L10281,Egypt,CRS-012,4.7,0.685,-34.9,0.890
L12151,South Africa,CRS-003,2.6,0.730,-12.4,0.776
L14616,Egypt,CRS-005,7.6,0.794,-19.9,0.319
L10941,South Africa,CRS-003,18.4,0.571,-10.0,0.460
L12815,Egypt,CRS-015,9.6,0.417,-11.8,0.631
L13240,Egypt,CRS-010,7.6,0.689,-8.9,0.856
L12365,Egypt,CRS-003,1.0,0.781,3.6,0.756
L12104,Egypt,CRS-006,0.1,0.633,-11.6,0.859
L11980,South Africa,CRS-015,15.5,0.762,-12.2,0.489
L14738,Egypt,CRS-007,14.7,0.705,2.6,0.664
L15253,South Africa,CRS-005,5.7,0.105,-8.2,0.949
L13319,Egypt,CRS-014,25.1,0.524,-11.7,0.373
L15242,Egypt,CRS-001,4.3,0.905,6.5,0.912
L13232,Egypt,CRS-012,1.8,0.185,-8.2,0.764
L14266,South Africa,CRS-006,1.9,0.809,1.0,0.761
L14960,South Africa,CRS-012,9.7,0.887,0.1,0.782
L13376,Egypt,CRS-012,3.6,0.874,8.7,0.341
L11192,Egypt,CRS-003,3.7,0.739,14.7,0.836
L11767,South Africa,CRS-003,29.1,0.576,6.1,0.655
L12320,Egypt,CRS-008,20.0,0.751,2.0,0.587
L10879,Egypt,CRS-014,13.8,0.400,5.4,0.705
L14821,Egypt,CRS-013,0.7,0.821,26.2,0.853
L13988,South Africa,CRS-005,0.2,0.579,-35.5,0.494
L11268,South Africa,CRS-002,17.7,0.707,10.8,0.459
L13072,South Africa,CRS-005,0.6,0.610,16.8,0.371
L11182,Egypt,CRS-003,1.1,0.767,-12.2,0.624
L14276,Egypt,CRS-008,1.7,0.559,8.2,0.801
L14718,South Africa,CRS-015,1.0,0.686,-2.9,0.749
L11466,Egypt,CRS-009,21.1,0.905,7.1,0.451
L11918,South Africa,CRS-014,14.3,0.867,-0.1,0.568
L11116,South Africa,CRS-003,7.0,0.990,-28.7,0.788
L15327,Egypt,CRS-005,0.7,0.888,-12.4,0.781
L13340,Egypt,CRS-009,1.5,0.489,19.4,0.554
L11524,Egypt,CRS-011,3.7,0.807,-16.3,0.584
L13827,Egypt,CRS-001,0.4,0.592,1.9,0.563
L14403,South Africa,CRS-012,6.4,0.609,-14.9,0.370
L14409,South Africa,CRS-004,5.9,0.648,-4.8,0.945
L11747,Egypt,CRS-015,2.1,0.242,4.3,0.688
L12869,South Africa,CRS-007,3.4,0.846,-22.9,0.865
L11965,South Africa,CRS-015,14.0,0.687,-7.9,0.843
L14711,South Africa,CRS-015,8.1,0.429,-10.1,0.928
L10135,South Africa,CRS-014,4.6,0.799,0.0,0.531
L14104,Egypt,CRS-004,4.2,0.835,-23.0,0.865
L12343,Egypt,CRS-013,4.8,0.248,22.7,0.934
L12507,Egypt,CRS-005,2.0,0.677,3.1,0.433
L14995,Egypt,CRS-004,13.7,0.775,-0.3,0.316
L15050,South Africa,CRS-004,3.7,0.430,-19.6,0.935
L10946,Egypt,CRS-004,3.3,0.823,1.8,0.619
L15130,South Africa,CRS-006,27.5,0.435,18.8,0.850
L14529,South Africa,CRS-013,11.9,0.669,17.8,0.390
L14871,Egypt,CRS-010,12.0,0.743,-2.8,0.433
L12449,Egypt,CRS-002,4.1,0.586,-1.9,0.343
L12951,South Africa,CRS-006,4.5,0.314,-24.0,0.711
L12228,South Africa,CRS-001,7.4,0.955,-0.9,0.526
L10652,Egypt,CRS-014,1.6,0.569,11.8,0.504
L14472,South Africa,CRS-015,0.1,0.371,-5.9,0.732
L14521,Egypt,CRS-013,0.3,0.783,3.6,0.856
L14507,Egypt,CRS-008,22.4,0.657,-14.6,0.809
L11730,South Africa,CRS-003,0.0,0.535,-8.0,0.725
L10381,South Africa,CRS-005,0.7,0.242,-13.3,0.797
L12303,South Africa,CRS-012,10.2,0.768,-1.1,0.841
L10386,South Africa,CRS-003,24.0,0.691,-2.0,0.671
L12189,South Africa,CRS-008,29.4,0.825,-14.9,0.853
L10518,Egypt,CRS-003,4.9,0.562,-12.5,0.825
L13095,Egypt,CRS-001,5.2,0.959,4.8,0.629
L14660,South Africa,CRS-005,12.4,0.943,10.7,0.824
L11866,Egypt,CRS-011,2.1,0.742,12.0,0.858
L10213,South Africa,CRS-010,8.1,0.734,2.1,0.727
L12779,Egypt,CRS-004,2.8,0.248,-25.0,0.649
L10274,South Africa,CRS-015,10.1,0.469,-4.0,0.825
L13993,South Africa,CRS-013,2.2,0.618,-39.4,0.691
L10759,South Africa,CRS-006,5.3,0.486,-4.1,0.766
L11774,South Africa,CRS-008,7.3,0.827,-1.3,0.682
L14449,South Africa,CRS-013,1.4,0.896,-12.2,0.939
L10765,Egypt,CRS-010,1.8,0.886,-8.8,0.443
L13171,Egypt,CRS-009,1.0,0.453,14.4,0.857
L12135,South Africa,CRS-007,1.3,0.775,-8.0,0.330
L10732,South Africa,CRS-012,2.7,0.762,24.1,0.533
L12595,South Africa,CRS-008,9.9,0.973,12.8,0.224
L12929,South Africa,CRS-004,1.0,0.565,-1.0,0.813
L15308,South Africa,CRS-002,8.4,0.962,-9.5,0.761
L13320,Egypt,CRS-014,8.6,0.413,10.4,0.500
L12283,Egypt,CRS-012,11.0,0.400,-3.2,0.935
L15279,South Africa,CRS-004,1.6,0.343,4.5,0.851
L13782,Egypt,CRS-007,2.5,0.882,-3.1,0.641
L13126,South Africa,CRS-010,6.5,0.788,17.6,0.860
L10719,Egypt,CRS-012,7.3,0.888,-20.4,0.525
L15320,South Africa,CRS-005,17.9,0.850,-8.7,0.719
L12780,South Africa,CRS-008,12.8,0.850,-13.9,0.873
L12316,Egypt,CRS-007,8.7,0.424,-6.1,0.494
L15075,Egypt,CRS-013,2.0,0.735,12.8,0.830
L11179,Egypt,CRS-010,54.7,0.735,30.7,0.614
L14866,South Africa,CRS-011,8.2,0.809,-19.8,0.618
L10491,Egypt,CRS-012,7.8,0.852,-4.1,0.471
L12073,South Africa,CRS-001,6.6,0.497,-19.5,0.415
L10988,South Africa,CRS-001,5.7,0.961,7.8,0.553
L13510,South Africa,CRS-004,9.1,0.600,-2.2,0.829
L15041,South Africa,CRS-006,9.6,0.761,-5.4,0.710
L12521,Egypt,CRS-003,18.0,0.652,-22.9,0.783
L14581,Egypt,CRS-013,3.6,0.812,-31.1,0.675
L11729,Egypt,CRS-011,4.7,0.628,-31.0,0.784
L10856,South Africa,CRS-012,17.1,0.573,6.7,0.665
L13846,Egypt,CRS-015,3.2,0.706,-3.8,0.401
L14561,Egypt,CRS-014,8.1,0.879,1.1,0.703
L13023,South Africa,CRS-010,11.4,0.814,-14.3,0.744
L14586,South Africa,CRS-010,18.7,0.746,3.1,0.596
L14780,Egypt,CRS-007,10.9,0.916,6.7,0.790
L14957,South Africa,CRS-012,7.3,0.503,4.7,0.270
L13865,Egypt,CRS-015,1.3,0.801,0.1,0.701
L10712,Egypt,CRS-001,5.8,0.809,-1.8,0.482
L12545,South Africa,CRS-004,1.7,0.377,-19.6,0.849
L13791,South Africa,CRS-005,12.2,0.563,-8.2,0.868
L14351,Egypt,CRS-007,11.6,0.323,-12.9,0.266
L10995,Egypt,CRS-012,3.0,0.531,-4.2,0.441
L11735,South Africa,CRS-001,13.2,0.420,-26.2,0.893
L14186,South Africa,CRS-002,52.7,0.687,7.7,0.561
L11539,Egypt,CRS-002,2.5,0.743,18.9,0.874
L11638,Egypt,CRS-002,6.7,0.949,-0.8,0.865
L11186,Egypt,CRS-008,12.2,0.894,-12.2,0.573
L10704,South Africa,CRS-015,19.0,0.101,-12.5,0.500
L12397,South Africa,CRS-002,3.1,0.607,5.5,0.699
L14592,South Africa,CRS-007,8.5,0.158,4.2,0.544
L12496,South Africa,CRS-008,1.9,0.429,2.1,0.899
L14239,Egypt,CRS-009,4.1,0.219,9.3,0.740
L14235,Egypt,CRS-001,13.9,0.477,27.6,0.553
L12667,South Africa,CRS-015,1.7,0.189,17.3,0.566
L15068,Egypt,CRS-015,13.2,0.370,-4.7,0.804
L13442,Egypt,CRS-009,6.6,0.888,21.2,0.363
L10421,South Africa,CRS-012,0.1,0.619,6.3,0.788
L10180,Egypt,CRS-006,2.7,0.892,9.9,0.848
L15061,Egypt,CRS-004,12.6,0.670,-7.4,0.911
L15033,Egypt,CRS-002,11.2,0.517,-8.4,0.520
L11564,Egypt,CRS-008,23.6,0.758,9.5,0.182
L14312,Egypt,CRS-008,34.4,0.481,-9.9,0.345
L11083,South Africa,CRS-006,1.0,0.597,5.8,0.878
L13632,South Africa,CRS-015,37.5,0.953,11.9,0.890
L13231,Egypt,CRS-003,8.0,0.421,0.5,0.619
L10385,Egypt,CRS-007,7.7,0.584,-18.6,0.199
L10325,South Africa,CRS-003,10.2,0.878,-19.6,0.887
L12175,South Africa,CRS-008,7.6,0.169,2.7,0.796
L12145,South Africa,CRS-006,4.2,0.955,9.0,0.644
L12460,South Africa,CRS-011,7.7,0.952,4.1,0.534
L11936,South Africa,CRS-009,24.4,0.829,-10.9,0.673
L14908,Egypt,CRS-009,0.4,0.594,8.1,0.462
L14875,Egypt,CRS-010,9.0,0.400,10.8,0.914
L11704,Egypt,CRS-010,23.8,0.818,-15.9,0.802
L11319,Egypt,CRS-009,4.9,0.777,-23.3,0.923
L14426,Egypt,CRS-003,0.0,0.677,-8.2,0.243
L11128,South Africa,CRS-005,1.7,0.876,5.0,0.650
L12726,Egypt,CRS-011,8.1,0.504,0.6,0.636
L13316,South Africa,CRS-013,11.4,0.905,12.1,0.566
L14210,Egypt,CRS-009,12.4,0.712,10.9,0.792
L13917,Egypt,CRS-006,8.0,0.690,4.6,0.461
L14202,Egypt,CRS-009,1.4,0.622,-5.9,0.788
L10809,South Africa,CRS-014,17.9,0.524,-15.7,0.954
L11484,Egypt,CRS-003,2.7,0.523,-16.8,0.801
L14979,South Africa,CRS-005,3.6,0.566,-8.0,0.888
L15377,South Africa,CRS-005,28.2,0.496,10.9,0.887
L13799,Egypt,CRS-003,9.0,0.225,3.2,0.817
L12353,Egypt,CRS-002,1.4,0.445,-7.9,0.590
L10602,Egypt,CRS-006,1.4,0.725,-24.8,0.882
L15051,Egypt,CRS-013,7.6,0.608,-14.6,0.706
L15225,South Africa,CRS-004,16.7,0.879,-9.1,0.178
L14831,Egypt,CRS-009,27.6,0.957,-23.2,0.649
L10076,South Africa,CRS-012,3.2,0.837,4.9,0.934
L10577,Egypt,CRS-006,25.0,0.879,8.3,0.823
L14856,Egypt,CRS-008,17.4,0.402,-8.6,0.762
L10725,South Africa,CRS-004,12.0,0.701,-12.1,0.833
L12039,South Africa,CRS-012,7.5,0.944,-4.4,0.718
L14423,South Africa,CRS-014,0.8,0.654,-13.6,0.580
L14608,Egypt,CRS-005,14.1,0.765,5.8,0.553
L11342,Egypt,CRS-015,10.6,0.573,1.5,0.544
L10710,Egypt,CRS-009,8.7,0.656,-0.0,0.930
L11542,South Africa,CRS-003,7.1,0.678,-5.5,0.790
L11663,Egypt,CRS-012,9.2,0.787,0.9,0.624
L15148,Egypt,CRS-010,39.8,0.283,9.3,0.797
L11066,Egypt,CRS-002,3.1,0.973,2.4,0.862
L10467,South Africa,CRS-007,4.1,0.827,-8.5,0.839
L11752,Egypt,CRS-002,18.6,0.745,2.6,0.695
L12484,Egypt,CRS-002,16.6,0.414,-3.0,0.915
L13159,Egypt,CRS-013,3.5,0.711,-6.3,0.759
L10004,Egypt,CRS-015,3.7,0.581,17.0,0.875
L11721,Egypt,CRS-008,29.9,0.882,12.6,0.595
L13863,South Africa,CRS-013,12.2,0.831,0.7,0.472
L13049,Egypt,CRS-002,32.4,0.555,9.5,0.546
L12285,South Africa,CRS-006,54.2,0.762,14.0,0.810
L13466,Egypt,CRS-011,21.3,0.768,14.8,0.660
L11537,Egypt,CRS-009,10.5,0.730,-8.2,0.724
L13389,South Africa,CRS-011,1.0,0.181,-3.6,0.211
L10666,South Africa,CRS-007,23.7,0.894,-20.6,0.809
L14656,South Africa,CRS-011,5.2,0.923,1.6,0.719
L11614,Egypt,CRS-006,2.5,0.801,3.6,0.587
L11295,Egypt,CRS-009,1.2,0.874,8.9,0.549
L13279,Egypt,CRS-002,4.0,0.758,4.6,0.889
L15353,Egypt,CRS-010,19.9,0.798,8.9,0.710
L13019,South Africa,CRS-015,6.9,0.227,1.5,0.915
L11371,South Africa,CRS-013,25.9,0.749,3.8,0.726
L13500,Egypt,CRS-001,18.2,0.705,2.8,0.664
L13998,Egypt,CRS-013,13.2,0.697,-14.0,0.311
L12623,South Africa,CRS-011,16.2,0.675,-14.7,0.738
L14777,South Africa,CRS-005,6.7,0.541,-2.7,0.761
L14919,Egypt,CRS-008,1.8,0.908,-19.6,0.638
L11162,Egypt,CRS-010,1.1,0.753,-26.2,0.600
L10671,South Africa,CRS-011,2.4,0.296,-25.0,0.856
L12722,South Africa,CRS-011,11.9,0.645,-24.0,0.812
L10979,Egypt,CRS-005,2.0,0.804,11.2,0.789
L11987,Egypt,CRS-009,6.3,0.952,-9.6,0.914
L13733,South Africa,CRS-001,6.3,0.753,9.6,0.762
L10009,Egypt,CRS-003,26.9,0.598,-22.2,0.771
L14131,South Africa,CRS-008,27.4,0.748,-15.3,0.820
L14097,Egypt,CRS-006,6.1,0.589,8.5,0.269
L13322,South Africa,CRS-004,17.0,0.907,-10.2,0.700
L15374,Egypt,CRS-014,8.3,0.264,1.1,0.756
L11904,Egypt,CRS-005,9.4,0.748,-16.9,0.743
L13756,Egypt,CRS-008,1.9,0.442,1.6,0.881
L12673,Egypt,CRS-012,7.8,0.481,9.2,0.702
L12338,South Africa,CRS-001,3.6,0.835,2.4,0.907
L11584,Egypt,CRS-004,0.9,0.738,-10.3,0.932
L15233,Egypt,CRS-002,1.2,0.832,1.7,0.695
L12215,South Africa,CRS-005,2.4,0.796,-41.6,0.926
L12695,Egypt,CRS-007,1.1,0.786,8.1,0.947
L11075,South Africa,CRS-007,4.8,0.835,-7.9,0.745
L12063,Egypt,CRS-007,11.9,0.822,-3.3,0.703
L10745,Egypt,CRS-002,8.3,0.586,-4.2,0.652
L12184,South Africa,CRS-013,6.6,0.549,-17.3,0.748
L14509,Egypt,CRS-012,8.5,0.100,20.7,0.543
L15177,South Africa,CRS-005,25.1,0.491,-3.2,0.561
L11289,Egypt,CRS-006,14.1,0.676,2.5,0.588
L14442,Egypt,CRS-001,5.7,0.843,-8.4,0.856
L13682,Egypt,CRS-010,5.9,0.836,10.4,0.420
L11232,Egypt,CRS-010,7.3,0.716,-6.4,0.558
L13850,Egypt,CRS-010,20.2,0.395,-8.5,0.462
L14337,Egypt,CRS-014,0.1,0.863,7.6,0.362
L11927,South Africa,CRS-001,9.5,0.784,-16.2,0.850
L15076,Egypt,CRS-014,1.8,0.710,-38.8,0.780
L11473,Egypt,CRS-004,11.6,0.764,2.6,0.674
L14140,Egypt,CRS-006,0.1,0.474,-23.3,0.835
L14007,Egypt,CRS-007,11.4,0.743,0.1,0.933
L15295,Egypt,CRS-011,3.2,0.840,-4.2,0.755
L11693,South Africa,CRS-009,3.0,0.560,-3.1,0.637
L15103,Egypt,CRS-013,28.5,0.749,37.6,0.664
L11169,Egypt,CRS-007,2.6,0.919,-23.1,0.729
L14260,South Africa,CRS-005,8.4,0.657,21.2,0.642
L14612,South Africa,CRS-015,6.0,0.768,1.4,0.699
L14646,Egypt,CRS-015,18.6,0.524,-17.5,0.838
L11949,South Africa,CRS-002,4.8,0.820,4.1,0.409
L11578,Egypt,CRS-015,13.3,0.840,-16.8,0.757
L10847,South Africa,CRS-013,3.1,0.673,-1.6,0.699
L11963,Egypt,CRS-006,21.3,0.935,-0.0,0.594
L11252,Egypt,CRS-015,0.9,0.599,-18.3,0.808
L10465,South Africa,CRS-013,2.0,0.564,9.7,0.581
L13228,Egypt,CRS-001,8.3,0.625,4.8,0.942
L13029,Egypt,CRS-015,10.8,0.378,-5.4,0.780
L11950,South Africa,CRS-015,12.5,0.516,12.2,0.481
L11326,South Africa,CRS-003,0.7,0.719,14.5,0.516
L14815,South Africa,CRS-010,1.2,0.650,2.0,0.829
L11032,Egypt,CRS-009,2.7,0.903,-8.4,0.787
L11769,Egypt,CRS-004,14.0,0.429,-21.7,0.652
L10508,South Africa,CRS-009,3.3,0.137,1.5,0.931
L14859,South Africa,CRS-002,1.2,0.805,1.1,0.665
L13806,South Africa,CRS-008,10.7,0.751,-49.4,0.550
L12885,South Africa,CRS-011,31.2,0.959,-11.2,0.539
L10415,Egypt,CRS-004,5.1,0.721,-21.0,0.838
L11887,Egypt,CRS-013,13.5,0.667,17.6,0.854
L15209,Egypt,CRS-008,1.1,0.761,-11.0,0.502
L15081,South Africa,CRS-008,4.1,0.888,-49.0,0.895
L14812,South Africa,CRS-007,0.6,0.942,6.8,0.577
L13223,Egypt,CRS-006,0.3,0.612,10.2,0.757
L10510,South Africa,CRS-007,5.3,0.631,-1.8,0.936
L14767,South Africa,CRS-001,18.7,0.407,-20.1,0.723
L11168,South Africa,CRS-010,1.2,0.649,-2.6,0.746
